"state","date","poverty_absolute","poverty_hardcore","poverty_relative"
"Perlis","2007-01-01",6.8,1.4,18.9
"Perlis","2009-01-01",6,0.8,17
"Perlis","2012-01-01",1.9,0.5,19.2
"Perlis","2014-01-01",0.2,0,10.1
"Perlis","2016-01-01",0.1,0,12
"Perlis","2019-01-01",3.9,0.3,12
"Perlis","2020-01-01",9.9,1.4,14.3
"Perlis","2022-01-01",4,0.1,12.6
"Pulau Pinang","1970-01-01",43.7,NA,NA
"Pulau Pinang","1976-01-01",32.4,NA,NA
"Pulau Pinang","1979-01-01",19.7,NA,NA
"Pulau Pinang","1984-01-01",13.4,4.1,NA
"Pulau Pinang","1987-01-01",12.9,4,NA
"Pulau Pinang","1989-01-01",8.9,2.1,NA
"Pulau Pinang","1992-01-01",4,1.1,NA
"Pulau Pinang","1995-01-01",4,0.7,18.4
"Pulau Pinang","1997-01-01",1.6,0.2,16.5
"Pulau Pinang","1999-01-01",2.7,0.3,16.6
"Pulau Pinang","2002-01-01",1.4,0.3,20.3
"Pulau Pinang","2004-01-01",0.3,0,15.8
"Pulau Pinang","2007-01-01",1.4,0.1,15.2
"Pulau Pinang","2009-01-01",1.2,0.1,15.4
"Pulau Pinang","2012-01-01",0.6,0,16.5
"Pulau Pinang","2014-01-01",0.3,0,12.4
"Pulau Pinang","2016-01-01",0.1,0,6.6
"Pulau Pinang","2019-01-01",1.9,0.1,13.2
"Pulau Pinang","2020-01-01",3.3,0.3,12.2
"Pulau Pinang","2022-01-01",2,0.1,15.3
"Sabah","1976-01-01",58.3,NA,NA
"Sabah","1979-01-01",40.7,NA,NA
"Sabah","1984-01-01",33.1,9.7,NA
"Sabah","1987-01-01",35.3,8.7,NA
"Sabah","1989-01-01",29.7,9.3,NA
"Sabah","1992-01-01",27.8,6.8,NA
"Sabah","1995-01-01",22.6,4.9,19.6
"Sabah","1997-01-01",22.1,2,19.7
"Sabah","1999-01-01",20.1,3.4,16.3
"Sabah","2002-01-01",16,3.1,21.1
"Sabah","2004-01-01",24.2,6.9,21.2
"Sabah","2007-01-01",16.4,3.8,15.8
"Sabah","2009-01-01",19.7,4.8,19.5
"Sabah","2012-01-01",8.1,1.6,18.6
"Sabah","2014-01-01",4,0.6,16.3
"Sabah","2016-01-01",2.9,0.2,17.6
"Sabah","2019-01-01",19.5,1.5,14.7
"Sabah","2020-01-01",25.3,2.7,13.2
"Sabah","2022-01-01",19.7,1.2,14.5
"Sarawak","1976-01-01",56.5,NA,NA
"Sarawak","1979-01-01",47.8,NA,NA
"Sarawak","1984-01-01",31.9,10,NA
"Sarawak","1987-01-01",24.7,4.4,NA
"Sarawak","1989-01-01",21,3.3,NA
"Sarawak","1992-01-01",19.2,3,NA
"Sarawak","1995-01-01",10,1.3,17.9
"Sarawak","1997-01-01",7.5,0.7,16.8
"Sarawak","1999-01-01",6.7,0.7,16.2
"Sarawak","2002-01-01",5.8,0.6,18
"Sarawak","2004-01-01",7.5,1.1,15.1
"Sarawak","2007-01-01",4.2,0.7,13.6
"Sarawak","2009-01-01",5.3,1,16.4
"Sarawak","2012-01-01",2.4,0.3,19.6
"Sarawak","2014-01-01",0.9,0.1,17.1
"Sarawak","2016-01-01",0.6,0.1,16.8
"Sarawak","2019-01-01",9,0.4,15.2
"Sarawak","2020-01-01",12.9,0.9,12.3
"Sarawak","2022-01-01",10.8,0.4,16.2
"Selangor","1970-01-01",29.2,NA,NA
"Selangor","1976-01-01",22.9,NA,NA
"Selangor","1979-01-01",14.5,NA,NA
"Selangor","1984-01-01",8.6,2.5,NA
"Selangor","1987-01-01",8.9,1.9,NA
"Selangor","1989-01-01",7.8,1.1,NA
"Selangor","1992-01-01",4.3,0.6,NA
"Selangor","1995-01-01",2.2,0.5,19.4
"Selangor","1997-01-01",1.3,0.3,20.2
"Selangor","1999-01-01",2,0.2,19
"Selangor","2002-01-01",1.1,0.2,17.3
"Selangor","2004-01-01",1,0,17.8
"Selangor","2007-01-01",0.7,0.1,16
"Selangor","2009-01-01",0.7,0.1,16.2
"Selangor","2012-01-01",0.4,0,15.6
"Selangor","2014-01-01",0.2,0,11.1
"Selangor","2016-01-01",0,0,10.7
"Selangor","2019-01-01",1.2,0.2,15.3
"Selangor","2020-01-01",1.7,0.3,13.9
"Selangor","2022-01-01",1.5,0,14.2
"Terengganu","1970-01-01",68.9,NA,NA
"Terengganu","1976-01-01",60.3,NA,NA
"Terengganu","1979-01-01",53.1,NA,NA
"Terengganu","1984-01-01",28.9,11.6,NA
"Terengganu","1987-01-01",36.1,15.1,NA
"Terengganu","1989-01-01",31.2,10.4,NA
"Terengganu","1992-01-01",25.6,9.2,NA
"Terengganu","1995-01-01",23.4,7.5,18.7
"Terengganu","1997-01-01",17.3,5,19.8
"Terengganu","1999-01-01",14.9,4.9,18.7
"Terengganu","2002-01-01",10.7,2.8,15.8
"Terengganu","2004-01-01",15.4,4.4,16.1
"Terengganu","2007-01-01",6.4,0.8,13.3
"Terengganu","2009-01-01",4,0.5,12.1
"Terengganu","2012-01-01",1.7,0.2,20.5
"Terengganu","2014-01-01",0.6,0.1,13.7
"Terengganu","2016-01-01",0.4,0,10.2
"Terengganu","2019-01-01",6.1,0.3,8.2
"Terengganu","2020-01-01",12,1.1,10.7
"Terengganu","2022-01-01",6.2,0.2,6.9
"Kuala Lumpur","1984-01-01",4.9,1.4,NA
"Kuala Lumpur","1987-01-01",5.2,1,NA
"Kuala Lumpur","1989-01-01",3.8,0.5,NA
"Kuala Lumpur","1992-01-01",1.7,0.3,NA
"Kuala Lumpur","1995-01-01",0.5,0,17.3
"Kuala Lumpur","1997-01-01",0.1,0.1,18.8
"Kuala Lumpur","1999-01-01",2.3,0,17.4
"Kuala Lumpur","2002-01-01",0.5,0,18.2
"Kuala Lumpur","2004-01-01",1.5,0.2,18.7
"Kuala Lumpur","2007-01-01",1.5,0.1,17.8
"Kuala Lumpur","2009-01-01",0.7,0.1,16.8
"Kuala Lumpur","2012-01-01",0.8,0.1,12.3
"Kuala Lumpur","2014-01-01",0.1,0,13.3
"Kuala Lumpur","2016-01-01",0,0,13.8
"Kuala Lumpur","2019-01-01",0.2,0,10.6
"Kuala Lumpur","2020-01-01",0.4,0,9.1
"Kuala Lumpur","2022-01-01",1.4,0,12.7
"Labuan","1999-01-01",NA,NA,21.6
"Labuan","2002-01-01",NA,NA,21.6
"Labuan","2004-01-01",2.7,0.2,14.1
"Labuan","2007-01-01",4.2,0.1,15.3
"Labuan","2009-01-01",4.3,0.7,17.9
"Labuan","2012-01-01",1.1,0,17.6
"Labuan","2014-01-01",1.1,0.1,14.1
"Labuan","2016-01-01",0,0,11.6
"Labuan","2019-01-01",3.1,0,12.9
"Labuan","2020-01-01",5.2,0.1,11.8
"Labuan","2022-01-01",2.5,0,7
"Putrajaya","2007-01-01",0,0,16.6
"Putrajaya","2009-01-01",0,0,11.1
"Putrajaya","2012-01-01",0,0,4.9
"Putrajaya","2014-01-01",0,0,7.9
"Putrajaya","2016-01-01",0,0,6.8
"Putrajaya","2019-01-01",0.4,0,12.1
"Putrajaya","2020-01-01",0.2,0,11.2
"Putrajaya","2022-01-01",0.1,0,11.4
